country,city,pm10,Year,pm25,population,color_pm25,color_pm10,avg_income
Andorra,EscaldesEngordany,18.9,2017,10.3,37466.87891,yellow,green,High income
United Kingdom,Scunthorpe,8.731863831,2017,6,79977,green,green,High income
Georgia,Tbilisi,46.33333333,2017,21.33333333,1147486,orange,darkred,Lower middle income
Jordan,AlZarqa,82.1,2017,33.69308961,449007,darkorange,red,Lower middle income
Jordan,Amman,68.04,2017,27.92299412,1154670,darkorange,orange,Lower middle income
Jordan,Irbid,52.73,2017,21.63991005,305925,orange,orange,Lower middle income
Saudi Arabia,Yanbu,115.7,2017,75,233236,darkred,darkred,High income
Senegal,Dakar,149.3333333,2017,21,3520215,orange,darkred,Low income
Ukraine,Kyiv,35,2017,22,2868702,orange,darkred,Lower middle income
Ecuador,Cuenca,53.52666667,2017,10.76,360505,yellow,orange,Upper middle income
Albania,Durres,24.5317006,2016,14.29827251,113249,yellow,yellow,Upper middle income
Albania,Korce,40.18491957,2016,28.61583069,51152,darkorange,darkred,Upper middle income
Albania,Vlore,22.69935708,2016,15.29752101,79513,orange,yellow,Upper middle income
Andorra,EscaldesEngordany,22.82947626,2016,11.5,37466.87891,yellow,yellow,High income
Argentina,Buenos Aires,26.87878788,2016,12.44930777,15180176,yellow,yellow,Upper middle income
Australia,Adelaide,16.18571429,2016,6.875,1255516,green,green,High income
Australia,Albany,17.5,2016,7.591446893,26644,green,green,High income
Australia,Albury,15.0531856,2016,6.53002623,26644,green,green,High income
Australia,Bathurst,13.28709677,2016,5.763902258,31292,green,green,High income
Australia,Brisbane,15.21140773,2016,6.610636631,2201930,green,green,High income
Australia,Bunbury,16.5,2016,8.4,64384,green,green,High income
Australia,Busselton,18.67232979,2016,8.1,21405,green,green,High income
Australia,City Of Ipswich,13.09857759,2016,5.682123209,198590,green,green,High income
Australia,Collie,19.3,2016,8.37228143,6999,green,green,High income
Australia,Darwin,16.4,2016,6.5,106257,green,green,High income
Australia,Geraldton,18.8,2016,8.155382948,31348,green,green,High income
Australia,Gladstone,13.82261296,2016,4.880699378,32074,green,green,High income
Australia,Jondaryan,16.64508352,2016,5.095709947,33915,green,green,High income
Australia,Mackay,19.75379762,2016,8.569137462,77293,green,green,High income
Australia,Moranbah,22.32119358,2016,9.682866039,8624,green,yellow,High income
Australia,Mount Isa,16.79145248,2016,7.284081129,22717,green,green,High income
Australia,Muswellbrook,19.23904494,2016,8.424645892,11045,green,green,High income
Australia,Newcastle,23.0979509,2016,8.137170754,372633,green,yellow,High income
Australia,Palmerston,15.2,2016,7.2,27703,green,green,High income
Australia,Perth,15.05,2016,7.675,1861108,green,green,High income
Australia,Singleton,19.30192837,2016,7.852124646,13962,green,green,High income
Australia,Sydney,16.50524016,2016,7.878140203,4505341,green,green,High income
Australia,Tamworth,15.30909091,2016,6.641037178,36132,green,green,High income
Australia,Wagga Wagga,20.63342541,2016,7.377437326,52043,green,yellow,High income
Australia,Whyalla,14.65,2016,6.355125542,22754,green,green,High income
Australia,Wollongong,17.40223666,2016,7.056899226,268944,green,green,High income
Australia,Wynnum,13.62228128,2016,4.158801521,13691,green,green,High income
Australia,Wyong,15.21916667,2016,5.745505618,149746,green,green,High income
Austria,Amstetten,17.2758149,2016,12.17932867,22847,yellow,green,High income
Austria,Arnoldstein,11.99192605,2016,8.454223989,6879,green,green,High income
Austria,Bad Voslau,17.35882009,2016,12.23784675,11316,yellow,green,High income
Austria,Biedermannsdorf,18.47766578,2016,13.02662513,2864,yellow,green,High income
Austria,Bludenz,14.40561639,2016,10.1558588,13701,yellow,green,High income
Austria,Bratislava,21.62346135,2016,15.24438901,5919,orange,yellow,High income
Austria,Braunau Am Inn,16.96485315,2016,11.96996899,16197,yellow,green,High income
Austria,Brixlegg,14.75679507,2016,11.06685896,2800,yellow,green,High income
Austria,Bruck An Der Mur,20.65832503,2016,14.56397465,15649,yellow,yellow,High income
Austria,Burgfried,16.31984169,2016,11.58100558,5919,yellow,green,High income
Austria,Deutschlandsberg,17.97390139,2016,12.67147476,11304,yellow,green,High income
Austria,Donawitz,15.67982566,2016,11.05416742,5919,yellow,green,High income
Austria,Dornbirn,15.32374653,2016,10.71232876,45922,yellow,green,High income
Austria,Durnrohr,19.13829209,2016,13.49236206,5919,yellow,green,High income
Austria,Ebenthal In Karnten,20.98772777,2016,14.79620128,7698,yellow,yellow,High income
Austria,Eisenstadt,19.35161757,2016,13.40830634,13101,yellow,green,High income
Austria,Enns,21.1077348,2016,14.8808054,11361,yellow,yellow,High income
Austria,Feldkirch,15.74697808,2016,11.10150941,30943,yellow,green,High income
Austria,Freistadt,12.04419488,2016,8.8505132,7046,green,green,High income
Austria,Furstenfeld,21.21372125,2016,14.9555251,8303,yellow,yellow,High income
Austria,Ganserndorf,19.15630702,2016,13.50506246,10362,yellow,green,High income
Austria,Gemeinde Imst,13.8497623,2016,9.763985551,5919,green,green,High income
Austria,Gmunden,12.0598063,2016,8.67765126,13086,green,green,High income
Austria,Goss,15.95668248,2016,11.24934954,3697,yellow,green,High income
Austria,Graz,22.94247728,2016,16.93608796,247904,orange,yellow,High income
Austria,GrazUmgebung,16.4096691,2016,11.56870194,143258,yellow,green,High income
Austria,Grosesnserndorf,15.10527134,2016,10.64911064,5919,yellow,green,High income
Austria,Hainburg An Der Donau,20.23238149,2016,14.26368744,5906,yellow,yellow,High income
Austria,Hall In Tirol,17.17870199,2016,12.11086475,12835,yellow,green,High income
Austria,Hallein,17.28517313,2016,11.58100558,19974,yellow,green,High income
